ID;Cost_claims_year;Cost_claims_by_type;Claims_type
843;76.85;76.85;travel assistance
864;391;208.44;travel assistance
864;391;182.56;travel assistance
867;351.71;351.71;all risks
878;4833.73;62.73;travel assistance
878;4833.73;4771;injuries
879;1050.47;963.46;negligence
879;1050.47;87.01;travel assistance
881;85.01;85.01;broken windows
917;538.42;538.42;broken windows
927;72.31;72.31;travel assistance
931;117.34;117.34;travel assistance
942;1193.4;1138.51;all risks
942;1193.4;54.89;travel assistance
946;2902.23;1838.6;complaint
946;2902.23;463.1;complaint
946;2902.23;600.52;negligence
996;903.78;903.78;negligence
1016;1034.69;165.02;travel assistance
1016;1034.69;123.82;all risks
1016;1034.69;745.85;all risks
1021;49.95;49.95;travel assistance
1027;134;71.58;travel assistance
1027;134;62.42;travel assistance
1031;52.09;52.09;travel assistance
1044;64.32;64.32;travel assistance
1048;61.66;61.66;travel assistance
1059;56.63;56.63;travel assistance
1060;334.09;266.98;complaint
1060;334.09;67.11;travel assistance
1092;56.85;56.85;travel assistance
1099;158.5;158.5;complaint
1102;263.06;263.06;complaint
1104;882;882;negligence
1109;52.09;52.09;travel assistance
1115;100.63;100.63;travel assistance
1133;5226.1;64.46;travel assistance
1133;5226.1;882;negligence
1133;5226.1;62.73;travel assistance
1133;5226.1;4036.09;negligence
1133;5226.1;94.96;travel assistance
1133;5226.1;85.86;travel assistance
1144;1873.04;960.65;negligence
1144;1873.04;260.85;broken windows
1144;1873.04;129.38;travel assistance
1144;1873.04;522.16;travel assistance
1156;1057.19;1057.19;complaint
1179;79.19;65.15;travel assistance
1179;79.19;14.04;travel assistance
1181;55.17;55.17;travel assistance
1188;1333.51;1333.51;travel assistance
1196;73.97;73.97;travel assistance
1197;49.95;49.95;travel assistance
1204;58.67;58.67;travel assistance
1208;52.09;52.09;travel assistance
1211;66.83;66.83;travel assistance
1217;130.26;49.12;travel assistance
1217;130.26;81.14;travel assistance
1221;137.66;137.66;broken windows
1230;151.01;151.01;travel assistance
1245;94.25;94.25;all risks
1255;201.15;201.15;broken windows
1270;81.89;81.89;travel assistance
1281;597.85;597.85;broken windows
1295;656.74;656.74;complaint
1308;573.24;573.24;complaint
1309;2757.84;60.11;travel assistance
1309;2757.84;2697.73;complaint
1318;81.89;81.89;travel assistance
1319;171.77;102.94;travel assistance
1319;171.77;68.83;travel assistance
1331;397.16;348.03;complaint
1331;397.16;49.13;travel assistance
1333;160.41;160.41;broken windows
1335;193.02;115.58;broken windows
1335;193.02;77.44;broken windows
1338;61.71;61.71;complaint
1354;882;882;negligence
1356;1023.85;1023.85;all risks
1359;80.58;80.58;travel assistance
1383;156.75;156.75;travel assistance
1387;565.53;85.01;broken windows
1387;565.53;480.52;broken windows
1397;259.07;0;complaint
1397;259.07;74.31;travel assistance
1397;259.07;184.76;complaint
1403;247.55;247.55;travel assistance
1415;170.15;170.15;travel assistance
1432;1036.45;820;injuries
1432;1036.45;123.23;travel assistance
1432;1036.45;93.22;travel assistance
1434;14970.33;14970.33;negligence
1437;202.12;202.12;travel assistance
1440;645.33;645.33;complaint
1453;172.29;172.29;broken windows
1466;285.49;285.49;complaint
1473;988.73;882;negligence
1473;988.73;106.73;travel assistance
1495;728.75;728.75;broken windows
1505;865.86;865.86;theft
1509;49.95;49.95;travel assistance
1512;552.03;552.03;broken windows
1518;49.95;49.95;travel assistance
1520;147.34;147.34;broken windows
1524;461.05;461.05;complaint
1552;624.67;624.67;complaint
1553;51.95;51.95;travel assistance
1558;882;882;complaint
1571;64.32;64.32;travel assistance
1618;421.85;421.85;complaint
1619;67.11;67.11;travel assistance
1623;69.83;69.83;travel assistance
1625;81.65;81.65;travel assistance
1629;334.84;233.36;complaint
1629;334.84;101.48;broken windows
1643;131.4;131.4;travel assistance
1655;3824.09;3719.07;negligence
1655;3824.09;105.02;travel assistance
1664;3378.59;51.95;travel assistance
1664;3378.59;73.32;travel assistance
1664;3378.59;3180;injuries
1664;3378.59;73.32;travel assistance
1665;345.04;345.04;complaint
1670;62.16;62.16;travel assistance
1681;459.57;459.57;negligence
1685;2287.76;2287.76;negligence
1686;76.33;76.33;travel assistance
1696;423.92;423.92;all risks
1705;504.25;504.25;complaint
1714;198.64;105.02;travel assistance
1714;198.64;93.62;travel assistance
1735;55.18;55.18;travel assistance
1754;243.46;243.46;travel assistance
1759;2183.39;2183.39;all risks
1760;64.46;64.46;travel assistance
1768;355.17;355.17;broken windows
1770;51.95;51.95;travel assistance
1800;164.77;164.77;travel assistance
1836;92.54;92.54;travel assistance
1850;52.09;52.09;travel assistance
1902;109.62;109.62;travel assistance
1904;52.09;52.09;travel assistance
1920;82.4;82.4;travel assistance
1953;51.95;51.95;travel assistance
1956;75.28;75.28;travel assistance
1964;3238.88;2147.19;all risks
1964;3238.88;447.17;all risks
1964;3238.88;644.52;all risks
1968;931.95;882;negligence
1968;931.95;49.95;travel assistance
1970;81.79;81.79;travel assistance
1981;351.35;351.35;broken windows
1990;337.83;337.83;broken windows
1999;882;882;negligence
2005;576.11;576.11;complaint
2013;155.85;51.95;travel assistance
2013;155.85;51.95;travel assistance
2013;155.85;51.95;travel assistance
2056;71.5;71.5;travel assistance
2058;282.31;282.31;travel assistance
2059;119.28;119.28;travel assistance
2064;2743.32;50.09;travel assistance
2064;2743.32;67.11;travel assistance
2064;2743.32;2626.12;negligence
2073;1006.57;124.57;travel assistance
2073;1006.57;882;negligence
2081;68.93;68.93;travel assistance
2086;57.5;57.5;travel assistance
2101;49.95;49.95;travel assistance
2102;268.83;120.15;travel assistance
2102;268.83;148.68;travel assistance
2106;154.13;52.09;travel assistance
2106;154.13;52.09;travel assistance
2106;154.13;49.95;travel assistance
2113;135.17;135.17;travel assistance
2114;315.82;315.82;travel assistance
2121;258.77;258.77;broken windows
2126;121.32;88.87;complaint
2126;121.32;32.45;travel assistance
2144;198.32;198.32;travel assistance
2150;353.78;353.78;complaint
2151;58.37;58.37;travel assistance
2156;181.23;114.96;travel assistance
2156;181.23;14.18;travel assistance
2156;181.23;52.09;travel assistance
2160;202.06;202.06;travel assistance
2168;666.06;666.06;complaint
2184;89.86;89.86;travel assistance
2225;360.08;360.08;broken windows
2236;279.6;279.6;travel assistance
2251;315.66;315.66;broken windows
2260;346.12;346.12;broken windows
2276;204.17;204.17;complaint
2287;53.14;53.14;travel assistance
2290;2412.21;2412.21;all risks
2294;1416.38;1416.38;all risks
2296;131.34;131.34;travel assistance
2300;143.17;65.26;complaint
2300;143.17;77.91;negligence
2302;354.09;264.39;broken windows
2302;354.09;89.7;broken windows
2312;51.95;51.95;travel assistance
2324;52.09;52.09;travel assistance
2325;92.09;92.09;travel assistance
2331;130.07;130.07;travel assistance
2352;1000.48;89.86;travel assistance
2352;1000.48;910.62;complaint
2353;917.33;917.33;all risks
2361;563.38;563.38;complaint
2365;71.65;71.65;travel assistance
2372;723.24;723.24;all risks
2381;73.57;21.62;complaint
2381;73.57;51.95;travel assistance
2391;174.81;174.81;broken windows
2403;175.54;52.09;travel assistance
2403;175.54;51.95;travel assistance
2403;175.54;71.5;travel assistance
2428;4062;4062;negligence
2444;107.8;107.8;travel assistance
2449;2481.09;2481.09;all risks
2462;423.45;423.45;travel assistance
2464;67.25;67.25;travel assistance
2465;121.63;121.63;travel assistance
2475;60.78;60.78;complaint
2487;64.46;64.46;travel assistance
2489;1217.73;1165.78;negligence
2489;1217.73;51.95;travel assistance
2498;51.95;51.95;travel assistance
2501;3952.55;3900.46;all risks
2501;3952.55;52.09;travel assistance
2506;99.64;99.64;travel assistance
2521;51.95;51.95;travel assistance
2526;1848.21;84.21;travel assistance
2526;1848.21;882;negligence
2526;1848.21;882;negligence
2528;1890.96;1890.96;all risks
2531;882;882;negligence
2533;107.25;107.25;all risks
2545;53.14;53.14;travel assistance
2547;96.71;96.71;travel assistance
2554;52.09;52.09;travel assistance
2562;1115.41;1115.41;other
2572;1824.76;1824.76;negligence
2582;720.84;720.84;complaint
2591;86.03;86.03;travel assistance
2593;70.21;70.21;complaint
2619;52.09;52.09;travel assistance
2643;51.95;51.95;travel assistance
2657;69.46;69.46;travel assistance
2676;4391.05;52.09;travel assistance
2676;4391.05;52.09;travel assistance
2676;4391.05;52.09;travel assistance
2676;4391.05;4234.78;negligence
2695;53.14;53.14;travel assistance
2714;56.98;56.98;travel assistance
2772;58.8;58.8;travel assistance
2779;10601.53;100.68;travel assistance
2779;10601.53;10500.85;negligence
2814;465.64;465.64;broken windows
2842;299.57;299.57;complaint
2868;76.72;76.72;travel assistance
2904;202.9;100.54;travel assistance
2904;202.9;102.36;travel assistance
2911;4534.56;175.3;complaint
2911;4534.56;450.62;travel assistance
2911;4534.56;3476.67;negligence
2911;4534.56;431.97;broken windows
2918;1473.28;1328.91;all risks
2918;1473.28;144.37;travel assistance
2925;2522.58;2463.78;negligence
2925;2522.58;58.8;travel assistance
2938;88.28;88.28;travel assistance
2940;784.02;784.02;complaint
2970;882;882;negligence
2975;2632.89;62;travel assistance
2975;2632.89;1439.45;all risks
2975;2632.89;1131.44;all risks
3012;61.66;61.66;travel assistance
3014;186.52;72.59;travel assistance
3014;186.52;55.9;travel assistance
3014;186.52;58.03;travel assistance
3017;306.96;306.96;complaint
3026;86.25;49.95;travel assistance
3026;86.25;36.3;complaint
3027;87.99;87.99;travel assistance
3030;1693.98;351.6;all risks
3030;1693.98;1342.38;all risks
3033;1058.98;1058.98;broken windows
3043;929.37;929.37;all risks
3083;63.17;63.17;travel assistance
3099;158.6;158.6;travel assistance
3113;436.07;436.07;broken windows
3124;931.13;49.13;travel assistance
3124;931.13;882;negligence
3131;127.78;127.78;travel assistance
3149;56.22;56.22;travel assistance
3160;297.6;73.18;travel assistance
3160;297.6;56.32;travel assistance
3160;297.6;56.53;travel assistance
3160;297.6;56.39;travel assistance
3160;297.6;55.18;travel assistance
3168;83.64;83.64;travel assistance
3184;882;882;negligence
3187;629.17;565.86;all risks
3187;629.17;63.31;travel assistance
3200;50.09;50.09;travel assistance
3201;125.35;54.38;complaint
3201;125.35;70.97;all risks
3205;404.26;404.26;complaint
3228;5822.09;1871.92;all risks
3228;5822.09;3950.17;all risks
3232;72.41;72.41;travel assistance
3239;120.24;67.78;travel assistance
3239;120.24;52.46;travel assistance
3261;76.18;76.18;travel assistance
3292;365.88;365.88;travel assistance
3296;79.77;79.77;travel assistance
3298;389.08;389.08;complaint
3299;4347.54;774.8;all risks
3299;4347.54;526.62;all risks
3299;4347.54;3046.12;all risks
3317;882;882;complaint
3334;119.2;52.09;travel assistance
3334;119.2;67.11;travel assistance
3342;50.09;50.09;travel assistance
3345;152.96;152.96;broken windows
3352;616.47;616.47;complaint
3353;1494.22;77.44;broken windows
3353;1494.22;77.44;broken windows
3353;1494.22;117.59;broken windows
3353;1494.22;0;broken windows
3353;1494.22;495.31;all risks
3353;1494.22;726.44;travel assistance
3357;124.04;124.04;travel assistance
3374;1153.64;361.74;negligence
3374;1153.64;361.74;negligence
3374;1153.64;340.25;complaint
3374;1153.64;89.91;broken windows
3401;64.32;64.32;travel assistance
3411;882;882;negligence
3437;336.14;49.95;travel assistance
3437;336.14;286.19;broken windows
3443;569;569;all risks
3449;179.4;179.4;complaint
3450;78.94;78.94;travel assistance
3471;283.14;283.14;complaint
3498;67.11;67.11;travel assistance
3499;467.02;467.02;broken windows
3527;553.26;553.26;complaint
3529;74.92;74.92;travel assistance
3530;310.67;166.12;broken windows
3530;310.67;77.44;broken windows
3530;310.67;67.11;travel assistance
3532;292.43;292.43;complaint
3545;80.72;80.72;travel assistance
3550;882;882;negligence
3567;59.71;59.71;travel assistance
3569;51.95;51.95;travel assistance
3585;150.25;150.25;travel assistance
3595;83.3;83.3;travel assistance
3600;357.95;357.95;complaint
3614;1083.4;903.78;negligence
3614;1083.4;127.67;travel assistance
3614;1083.4;51.95;travel assistance
3621;51.95;51.95;travel assistance
3647;117.79;117.79;travel assistance
3667;659.93;659.93;complaint
3679;162.45;79.39;travel assistance
3679;162.45;83.06;travel assistance
3680;180.22;90.56;travel assistance
3680;180.22;89.66;travel assistance
3697;1546.65;691.46;complaint
3697;1546.65;706.11;complaint
3697;1546.65;76.92;travel assistance
3697;1546.65;72.16;travel assistance
3727;311.06;311.06;broken windows
3731;57.12;57.12;travel assistance
3754;450.77;401.33;complaint
3754;450.77;49.44;travel assistance
3756;1113.69;218.05;broken windows
3756;1113.69;895.64;complaint
3756;1113.69;0;complaint
3770;51.95;51.95;travel assistance
3771;665.37;665.37;travel assistance
3772;60.62;60.62;travel assistance
3813;60.62;60.62;travel assistance
3816;2085.78;882;negligence
3816;2085.78;1203.78;negligence
3833;882;882;negligence
3839;756.67;756.67;complaint
3842;51.95;51.95;travel assistance
3849;581.54;581.54;broken windows
3866;914.71;914.71;all risks
3869;50.09;50.09;travel assistance
3927;76.71;76.71;travel assistance
3928;100.81;61.52;travel assistance
3928;100.81;39.29;complaint
3933;503.03;62.73;travel assistance
3933;503.03;64.32;travel assistance
3933;503.03;156.6;travel assistance
3933;503.03;64.32;travel assistance
3933;503.03;64.32;travel assistance
3933;503.03;90.74;travel assistance
3934;58.67;58.67;travel assistance
3935;882;882;negligence
3939;275.32;275.32;broken windows
3951;340.08;340.08;broken windows
3970;1582.16;310.5;travel assistance
3970;1582.16;244.77;travel assistance
3970;1582.16;1026.89;negligence
3984;60.62;60.62;travel assistance
4000;534.94;534.94;complaint
4006;715.75;715.75;complaint
4007;370.38;370.38;broken windows
4010;67.25;67.25;travel assistance
4021;882;882;negligence
4023;882;882;negligence
4024;535.4;535.4;complaint
4028;87.01;87.01;travel assistance
4034;464.99;464.99;all risks
4035;1507.08;153.82;all risks
4035;1507.08;1301.31;all risks
4035;1507.08;51.95;travel assistance
4036;1082.77;158.42;travel assistance
4036;1082.77;924.35;negligence
4038;7263.78;7263.78;negligence
4039;186.3;51.95;travel assistance
4039;186.3;82.4;travel assistance
4039;186.3;51.95;travel assistance
4043;328.74;170.72;travel assistance
4043;328.74;158.02;travel assistance
4053;3828.99;3769.28;all risks
4053;3828.99;59.71;travel assistance
4073;84.33;84.33;travel assistance
4074;671.01;671.01;complaint
4078;966.96;966.96;complaint
4082;629.93;560.3;complaint
4082;629.93;69.63;travel assistance
4107;51.95;51.95;travel assistance
4138;707.76;707.76;complaint
4144;883.83;81.79;travel assistance
4144;883.83;802.04;all risks
4156;169.53;169.53;all risks
4175;151.67;151.67;travel assistance
4191;8131.94;8004.84;all risks
4191;8131.94;127.1;travel assistance
4192;51.95;51.95;travel assistance
4194;51.95;51.95;travel assistance
4214;2576.74;2576.74;negligence
4241;282.77;282.77;broken windows
4256;59.71;59.71;travel assistance
4262;371.51;371.51;broken windows
4274;762.71;762.71;travel assistance
4296;264.5;264.5;all risks
4298;263.8;52.09;travel assistance
4298;263.8;52.09;travel assistance
4298;263.8;159.62;travel assistance
4322;51.95;51.95;travel assistance
4323;220.82;220.82;complaint
4334;882;882;negligence
4348;288.98;203.97;broken windows
4348;288.98;85.01;broken windows
4349;75.14;75.14;travel assistance
4362;882;882;negligence
4382;1139.32;1139.32;all risks
4396;170.55;170.55;travel assistance
4405;211.27;211.27;travel assistance
4407;483.39;67.25;travel assistance
4407;483.39;25.41;broken windows
4407;483.39;390.73;broken windows
4418;206.71;55.17;travel assistance
4418;206.71;151.54;broken windows
4445;51.95;51.95;travel assistance
4452;271.45;271.45;negligence
4469;51.95;51.95;travel assistance
4486;52.09;52.09;travel assistance
4491;519.05;519.05;complaint
4494;882;882;negligence
4520;112.9;112.9;complaint
4548;734.05;734.05;all risks
4569;215.1;59.85;travel assistance
4569;215.1;88.14;travel assistance
4569;215.1;67.11;travel assistance
4597;66.2;66.2;travel assistance
4616;82.4;82.4;travel assistance
4622;1996.78;1935.26;complaint
4622;1996.78;61.52;travel assistance
4622;1996.78;0;complaint
4630;1837.08;176.6;travel assistance
4630;1837.08;1660.48;other
4634;60.76;60.76;travel assistance
4640;60.76;60.76;travel assistance
4656;99.14;99.14;complaint
4678;67.25;67.25;travel assistance
4685;147.86;147.86;travel assistance
4692;127.63;68.96;travel assistance
4692;127.63;58.67;travel assistance
4696;639.61;639.61;complaint
4727;1456.92;1430.24;all risks
4727;1456.92;26.68;all risks
4734;4370.66;4370.66;negligence
4735;1024.5;972.55;negligence
4735;1024.5;51.95;all risks
4737;1090.51;555.86;complaint
4737;1090.51;534.65;complaint
4742;51.15;51.15;travel assistance
4749;882;882;complaint
4759;66.2;66.2;travel assistance
4770;87.01;87.01;travel assistance
4781;505.63;462.44;complaint
4781;505.63;43.19;travel assistance
4783;849.03;849.03;all risks
4788;1535.15;1535.15;all risks
4826;76.85;76.85;travel assistance
4829;61.52;61.52;travel assistance
4849;67.11;67.11;travel assistance
4865;53.89;53.89;complaint
4878;7354.69;67.25;travel assistance
4878;7354.69;87.01;travel assistance
4878;7354.69;7123.48;all risks
4878;7354.69;76.95;travel assistance
4880;119.83;119.83;travel assistance
4885;2485.57;2485.57;all risks
4900;67.11;67.11;travel assistance
4908;120.18;120.18;travel assistance
4913;66.06;66.06;travel assistance
4922;119.39;119.39;broken windows
4936;376.98;36.6;travel assistance
4936;376.98;271.17;complaint
4936;376.98;34.61;travel assistance
4936;376.98;34.61;travel assistance
4940;81.93;81.93;travel assistance
4944;59.85;59.85;travel assistance
4954;503.51;503.51;complaint
4959;67.11;67.11;travel assistance
4985;110.75;58.8;travel assistance
4985;110.75;51.95;travel assistance
4995;237.3;237.3;all risks
4997;66.97;66.97;travel assistance
4999;59.85;59.85;travel assistance
5000;567.97;567.97;complaint
5006;58.53;58.53;travel assistance
5020;1865.03;1865.03;negligence
5026;123.45;123.45;complaint
5054;83.06;83.06;travel assistance
5063;51.95;51.95;travel assistance
5067;1774.99;1702.15;negligence
5067;1774.99;14.04;travel assistance
5067;1774.99;58.8;travel assistance
5080;100.11;100.11;complaint
5103;185.97;185.97;travel assistance
5109;67.11;67.11;travel assistance
5114;715.96;715.96;complaint
5118;342.96;342.96;complaint
5129;87.28;87.28;complaint
5138;494.7;494.7;broken windows
5140;673.23;673.23;complaint
5154;2125.67;109.62;travel assistance
5154;2125.67;2016.05;negligence
5174;886;886;complaint
5176;58.8;58.8;travel assistance
5177;132.8;132.8;complaint
5186;129.81;129.81;travel assistance
5191;290.14;290.14;travel assistance
5197;373.96;19.99;travel assistance
5197;373.96;142.06;complaint
5197;373.96;211.91;negligence
5208;737.52;737.52;complaint
5216;58.53;58.53;travel assistance
5228;175.66;175.66;travel assistance
5229;117.32;117.32;travel assistance
5234;467.99;218.14;travel assistance
5234;467.99;249.85;travel assistance
5236;258.48;105.16;travel assistance
5236;258.48;153.32;travel assistance
5242;160.04;160.04;travel assistance
5250;623.3;623.3;theft
5263;193;193;negligence
5279;83.06;83.06;travel assistance
5280;329.04;329.04;broken windows
5292;79.25;79.25;travel assistance
5295;1290.92;609.13;broken windows
5295;1290.92;599.39;broken windows
5295;1290.92;82.4;travel assistance
5305;90.56;90.56;travel assistance
5308;1095.44;1095.44;other
5309;1726.31;301.13;all risks
5309;1726.31;1369.1;theft
5309;1726.31;56.08;travel assistance
5324;783.95;783.95;complaint
5334;589.94;589.94;all risks
5344;201.66;201.66;broken windows
5345;49.13;49.13;travel assistance
5371;349.42;349.42;broken windows
5380;58.94;58.94;travel assistance
5390;64.32;64.32;travel assistance
5400;364.9;364.9;broken windows
5418;64.25;64.25;travel assistance
5440;73.32;73.32;travel assistance
5441;76.85;76.85;travel assistance
5453;469.61;0;broken windows
5453;469.61;469.61;broken windows
5457;51.95;51.95;travel assistance
5458;67.11;67.11;travel assistance
5470;179.19;179.19;negligence
5492;56.85;56.85;travel assistance
5496;1062.04;1062.04;complaint
5499;120.18;120.18;travel assistance
5516;450.22;450.22;travel assistance
5534;64.46;64.46;travel assistance
5535;174.54;174.54;travel assistance
5540;475.11;475.11;complaint
5548;49.95;49.95;travel assistance
5550;371.13;181.49;travel assistance
5550;371.13;97.83;travel assistance
5550;371.13;91.81;travel assistance
5556;267.82;267.82;complaint
5562;194.86;194.86;travel assistance
5571;51.95;51.95;travel assistance
5578;633.39;633.39;complaint
5594;975.57;88.28;travel assistance
5594;975.57;887.29;other
5599;51.95;51.95;travel assistance
5610;2511.4;2511.4;negligence
5614;496.17;72.9;travel assistance
5614;496.17;423.27;all risks
5616;942.17;942.17;all risks
5620;134.03;134.03;travel assistance
5626;671.48;519.8;complaint
5626;671.48;151.68;travel assistance
5633;67.11;67.11;travel assistance
5643;78.76;78.76;travel assistance
5654;321.53;86.03;travel assistance
5654;321.53;235.5;broken windows
5663;689.45;689.45;complaint
5664;67.11;67.11;travel assistance
5681;312.31;74.31;travel assistance
5681;312.31;238;travel assistance
5698;882;882;negligence
5715;51.95;51.95;travel assistance
5726;242.23;242.23;broken windows
5731;536.3;536.3;complaint
5733;49.95;49.95;travel assistance
5738;340.46;340.46;complaint
5745;290.67;290.67;travel assistance
5760;49.95;49.95;travel assistance
5766;133.35;84.22;travel assistance
5766;133.35;49.13;travel assistance
5786;163.16;163.16;travel assistance
5795;970.89;67.11;travel assistance
5795;970.89;903.78;negligence
5820;163.71;66.85;travel assistance
5820;163.71;96.86;travel assistance
5821;2064.96;1959.21;all risks
5821;2064.96;105.75;travel assistance
5828;3224.37;2202.12;all risks
5828;3224.37;145.54;travel assistance
5828;3224.37;876.71;all risks
5833;1828.8;1828.8;all risks
5847;56.98;56.98;travel assistance
5850;52.09;52.09;travel assistance
5863;1887.95;1887.95;negligence
5864;130.57;130.57;travel assistance
5868;404.13;97.04;travel assistance
5868;404.13;307.09;travel assistance
5871;52.09;52.09;travel assistance
5885;70.57;70.57;travel assistance
5889;49.95;49.95;travel assistance
5895;52.09;52.09;travel assistance
5908;563.54;563.54;complaint
5916;1105.86;1105.86;negligence
5929;220.45;70.2;travel assistance
5929;220.45;150.25;travel assistance
5931;66.35;66.35;travel assistance
5980;7263.68;2714.67;negligence
5980;7263.68;95.1;travel assistance
5980;7263.68;67.11;travel assistance
5980;7263.68;4386.8;negligence
5991;617.88;617.88;complaint
6006;156.63;156.63;all risks
6009;70.57;70.57;travel assistance
6044;57.91;22.58;travel assistance
6044;57.91;24.12;complaint
6044;57.91;11.21;travel assistance
6048;1376.69;96.92;travel assistance
6048;1376.69;96.01;travel assistance
6048;1376.69;1027.22;negligence
6048;1376.69;156.54;travel assistance
6053;1295.54;1295.54;all risks
6069;345.46;345.46;all risks
6087;71.58;71.58;travel assistance
6100;625.23;625.23;complaint
6114;247.38;247.38;broken windows
6124;335.77;335.77;complaint
6131;54.16;54.16;travel assistance
6188;286.74;286.74;travel assistance
6256;850.04;850.04;complaint
6291;1754.55;439.82;negligence
6291;1754.55;675.48;complaint
6291;1754.55;639.26;complaint
6295;110.26;110.26;travel assistance
6297;3244.55;3244.55;negligence
6328;927.5;882;negligence
6328;927.5;45.5;complaint
6338;1777.93;1072.6;all risks
6338;1777.93;705.33;all risks
6354;51.95;51.95;travel assistance
6367;124.68;124.68;travel assistance
6377;238.71;106.59;travel assistance
6377;238.71;90.74;travel assistance
6377;238.71;41.38;complaint
6404;358.16;290.91;travel assistance
6404;358.16;67.25;travel assistance
6414;95.1;95.1;travel assistance
6455;74.89;74.89;travel assistance
6457;274.87;63.17;travel assistance
6457;274.87;211.7;travel assistance
6465;492.5;266.14;travel assistance
6465;492.5;226.36;travel assistance
6468;222.79;222.79;complaint
6475;346.04;189.95;travel assistance
6475;346.04;156.09;travel assistance
6488;77.54;77.54;travel assistance
6490;726.59;726.59;complaint
6493;53.14;53.14;travel assistance
6501;57.5;57.5;travel assistance
6541;203.58;203.58;broken windows
6584;51.95;51.95;travel assistance
6586;598.04;598.04;complaint
6592;250.64;103.27;travel assistance
6592;250.64;147.37;travel assistance
6596;67.11;67.11;travel assistance
6612;252.41;0;broken windows
6612;252.41;252.41;broken windows
6630;882;882;negligence
6637;769.46;769.46;all risks
6638;149.28;149.28;complaint
6681;52.41;52.41;travel assistance
6689;126.45;126.45;travel assistance
6710;52.09;52.09;travel assistance
6714;105.94;105.94;travel assistance
6722;736.6;736.6;theft
6738;351.39;351.39;complaint
6748;882;882;negligence
6770;87.84;87.84;travel assistance
